id,title,channel_id,channel_name,published_date,description
t93UJvwQPUo,I just went ALL IN on ZILLIQA (ZIL),UC8Vz2IndbhPtleQmvrlQChg,The Crypto Report,2022-06-11T04:20:55Z,In today's video Crypto Kip talks about the future of zilliqa and how he believes in the project long term! #cryptonews #zil #zilliqa ...
wcEMuoGKEr4,Can Zilliqa Go To 100x In Next Bull Season 🚀 ?,UC_d3dOruc-Y0CNzoNRLPDzw,WISE ADVICE,2022-06-11T13:13:27Z,Can Zilliqa Go To 100x In Next Bull Season ? Join Wise Advice on Telegram - https://t.me/wiseadvicebysumit So today let us ...
B2HwX1uJIKo,Zilliqa Metapolis Update | City &amp; NFT Gallery FIRST LOOK Reveal!,UC4VPa7EOvObpyCRI4YKRQRw,Paul Barron Network,2022-02-04T18:47:53Z,Zilliqa ($ZIL) is gearing to launch its new Metaverse project “Metapolis” in the near future. The new virtual city includes ...
4QKNuErkfC0,Zilliqa Zil Is Breaking Out Big Wedge With Bullish Divergence Once Again,UCiDj9x2tLUNgaXQgefJWikQ,moon333,2022-06-26T06:11:54Z,For more ideas you can join my Patreon: https://www.patreon.com/moon333 In this post you will find the next long-term bullish ...
FPVURc_1YrU,How Much ZILLIQA Should You Own In 2022? - This Is How Much You Need To Be WEALTHY!,UCbFFuUCrfkahTOwO3nUqISw,Crypto Gains,2022-04-21T13:40:37Z,Become A Patreon! :) https://www.patreon.com/Cryptogains ================================ My Social Links: Instagram: ...
u3P2LkOntd8,Zilliqa Price Prediction - I Have An Important Message!!! Should You Sell Now?,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-03-31T03:08:58Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
BN334lp-Gpc,Zilliqa Price Prediction - Best Play To Earn Metaverse Blockchain!,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-05-28T08:25:59Z,Zilliqa price prediction and chart analysis. Zilliqa crypto news today also zilliqa staking and mining. Zilliqa coin bareau or zilliqa ...
Wuc1PgDw_9w,ZILLIQA NEWS 2022 - ZIL Token PUMPING - Here Is Why!! Zilliqa Price Potential,UCa8bvrG9HyIKUZOK3QwK3rw,Crypto Never Sleeps,2022-03-30T22:53:13Z,ZILLIQA NEWS 2022 - ZIL Token PUMPING - Here Is Why!! Zilliqa Price Potential 00:00 - Introduction 02:05 - ZIL Token Price Data ...
ulZr42wlhbA,Zilliqa Price Prediction - I Get Worried When I See This!!! This Is Why I&#39;m Not Selling Yet!,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-04-01T04:26:15Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
fOMFOAklPTQ,Zilliqa (ZIL) Coin CRASHING after Investors Bought the Rumour and Sold the News,UClGM8gSAlCNPKHtJ2DfM7qw,OnChain News,2022-04-02T23:00:24Z,"Make sure to SUB to get your Daily Crypto News Update at 7pm eastern! Hello Friends, welcome to Crypto News! Here we are ..."
HQrrsruhl7U,ZILLIQA WILL BE HUGE IF THIS HAPPENS! ZIL PRICE PREDICTION 2022 - SHOULD I BUY ZIL,UCd4Ys__EL_gbJrYq6JscrAw,Cheeky Crypto,2022-05-23T09:15:00Z,LOOKING FOR MORE? Our NFT Project https://www.cheekyverse.com/ PATREON https://www.patreon.com/cheekycrypto ...
_0vTEFABWQA,Zilliqa - Be Prepared For A Correction | ZIL Crypto,UCfQaLLoJYaxg9ZNJVHCR9Lg,Gerhard - Bitcoin Strategy,2022-03-30T09:20:21Z,Premium Membership: https://the-bitcoin-strategy.com My Chart Software: https://the-bitcoin-strategy.com/tradingview My ...
ipGn8nPVguo,ZIL ZILLIQA CRYPTO PRICE PREDICTION 2022! PUMPING NOW!,UCw2OA30Mobztf52r-dpYYTA,Jacob Crypto Bury,2022-06-21T09:45:18Z,"Buy ZIL today - https://gridrelay48.co/box_00513de47fb9793c0134888346835ae7 - Increase your crypto security, download a ..."
gu6r-cZsTlw,ZILLIQA (ZIL): WELCOME TO THE FUTURE!💎THE FUTURE CROWNED METAVERSE KING🚀,UC4PZGdFS6D9j3r8pQWBNSww,NCashOfficial - Daily Crypto News,2022-03-16T14:00:20Z,"Hello, I am NCashOfficial delivering you the hard truth with technical analysis without any fake hopium. I make strong and ..."
v8scysv6ojk,Zilliqa Shooter Game Teaser - Map #2,UCvinnFbf0u71cajoxKcfZIQ,Zilliqa,2022-06-14T08:44:17Z,"Another low poly shooter in-game footage, map #2 #gaming #zilliqa Connect with Zilliqa Website: https://www.zilliqa.com Twitter: ..."
Y2WBlr8vv0c,Big Breakthrough!!! Zilliqa Zil Breaks Out A Long-Channel,UCiDj9x2tLUNgaXQgefJWikQ,moon333,2022-06-23T07:56:29Z,"For more ideas you can join my Patreon: https://www.patreon.com/moon333 Link for Bitget exchange, for best trading bonuses: ..."
CVW-peh-hzE,ZILLIQA ZIL TOKEN BIG NEWS: AWESOME ZILLIQA PRICE MOVEMENT!!! ( PRICE PREDICTION 2022),UCBUTaURqWluZfvh9IZnhqLw,HODL ALERT,2022-06-24T00:00:04Z,"Today we talk about zilliqa token, zilliqa token price, zilliqa price, zilliqa coin news, how to buy zilliqa token, zilliqa token news, ..."
pjRTnq8UyLc,WHY ZILLIQA (ZIL) IS THE BIGGEST METAVERSE PLAY💎MASSIVE POTENTIAL!🚀BEST ALTCOINS FOR 2022,UC4PZGdFS6D9j3r8pQWBNSww,NCashOfficial - Daily Crypto News,2022-02-05T11:29:11Z,"Hello, I am NCashOfficial delivering you the hard truth with technical analysis without any fake hopium. I make strong and ..."
lXv3RafS1mo,WHY ZILLIQA (ZIL) IS THE MOST OVERLOOKED GEM💎EXTREMELY UNDERVALUED🚀 BEST ALTCOINS FOR 2022,UC4PZGdFS6D9j3r8pQWBNSww,NCashOfficial - Daily Crypto News,2022-01-10T02:09:20Z,"Hello, I am NCashOfficial delivering you the hard truth with technical analysis without any fake hopium. I make strong and ..."
Lls-r9PtaZ8,⛏️ZILLIQA: QUEL POTENTIEL POUR 2022 ET LES ANNÉES A VENIR ?  -Analyse crypto ZIL,UCuXgThwkFpefb41aKWKqrOw,Cryptolyze,2022-04-23T14:00:14Z,Wizardia   : https://bit.ly/3LV8EeK Lien Crypto.com 25$ en CRO gratuit pour les CB à partir de RUBY : https://bit.ly/3Ci8aLS ...
ip8nxp_cJ_c,How High Can Zilliqa Go? (ZIL Price Prediction 2022),UCmrU1HFPpy5DfUySK6okqEA,Lewis Jackson,2022-03-28T18:00:09Z,Join as a member and get the following perks: - Access To Members Only Discord - Private Group Video Calls in Volitile Market ...
p59QngZlsWk,Zilliqa Price Prediction 2022 (ZIL +1200% Biggest Breakout),UC_k4bEs-Wh2OcBdj6kRwgeA,Rockstar Trading,2022-06-26T17:44:48Z,Zilliqa Price Prediction 2022 (ZIL +1200% Biggest Breakout) - Is it a good crypto to buy now? - Comment below your thoughts.
HTeRXwc9Jgk,Zilliqa &amp; XCAD - Zilliqa To Reach $1 and XCAD To Reach $100,UCV4BMkf2byK9Nt0lYCMcR4Q,Crypto with Lorenzo,2022-06-25T16:09:14Z,If You Wish To Become A Member Of My Channel https://www.youtube.com/channel/UCV4BMkf2byK9Nt0lYCMcR4Q/join Join ...
RfxST6Rj1dU,The Future of Gaming on Zilliqa,UCvinnFbf0u71cajoxKcfZIQ,Zilliqa,2022-05-11T16:51:36Z,"In this session, get behind the scenes look at what's cooking in Zilliqas game studio. Do you see those containers? That's a screen ..."
5GLnF8oE86E,IF ZILLIQA ZIL CAN HOLD THIS LEVEL IT WILL BE HUGE! ZIL PRICE PREDICTION 2022 - SHOULD I BUY ZIL,UCd4Ys__EL_gbJrYq6JscrAw,Cheeky Crypto,2022-05-14T09:15:00Z,LOOKING FOR MORE? Our NFT Project https://www.cheekyverse.com/ PATREON https://www.patreon.com/cheekycrypto ...
Hl_3hxcjflU,Zilliqa Price Prediction - Metapolis Was A Disaster!!! You Need To Panic Sell Now!!!,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-04-03T06:04:55Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
0wBbFmSBxn4,ZILLIQA BREAKS into the Top 70 Coins!,UC8Vz2IndbhPtleQmvrlQChg,The Crypto Report,2022-06-22T03:53:59Z,In today's video Crypto Kip talks about the future of zilliqa and how it entered the top 70 coins! #cryptonews #zil #zilliqa ...
fKiNtgl286w,Zilliqa BREAKOUT Imminent?!?,UCNc4FB7ylWM0LBx0rx8SyZA,Crypto Dubai ,2022-04-02T19:21:56Z,Join the Patreon: https://www.patreon.com/cryptodubai If you want to pay in USDT or other crypto hit me up one Telegram: ...
CAxIqgfgxhY,ZILLIQA (ZIL) Launches A Native Metaverse,UCCnTOrkCE5alR2RYFVNdrjg,Babylon Trading,2022-03-27T14:48:19Z,Join The Tribe  https://launchpass.com/jupiter/tribians Start Trading (No-KYC)  https://partner.bybit.com/b/nickofjupiter ...
BFNqyWN97TI,ZIL BREAKING OUT!| ZILLIQA (ZIL) PRICE PREDICTION &amp; ANALYSIS 2022!,UC8QWLZNoN3whQ7QMwoDp78A,Cilinix Crypto,2022-06-21T11:28:08Z,ZIL COIN PRICE PREDICTION 2022 JOIN THE CILINIX CRYPTO DISCORD! https://discord.gg/xQXDbycn6j Disclaimer: This is not ...
jg1X8tIkL68,Zilliqa Price Prediction - Urgent Message!!! - It&#39;s Over! 1$,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-04-20T23:02:41Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
SOEpkm_Dpag,Zilliqa Price Prediction - You Are All Bagholders! I Was Wrong About Zilliqa!,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-04-05T02:24:21Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
7I1haUCu2GY,Zilliqa Crash - What Now? - Zil Crypto Analysis,UCfQaLLoJYaxg9ZNJVHCR9Lg,Gerhard - Bitcoin Strategy,2022-05-06T02:22:32Z,Premium Membership: https://the-bitcoin-strategy.com Get 1-on-1 Coaching: https://ownnit.com/o/bitcoinstrategy My Chart ...
sddyCvKR1Uw,🔥 ZIL GAINS HIT 590% 🔥 ZIL PRICE PREDICTION 2022 - SHOULD I BUY ZIL - ZILLIQA ZIL ANALYSIS,UCd4Ys__EL_gbJrYq6JscrAw,Cheeky Crypto,2022-04-01T09:15:05Z,LOOKING FOR MORE? PATREON https://www.patreon.com/cheekycrypto Our All-Access Pass Includes the following benefits: ...
8nv9Wd6DAFg,Zilliqa Price Prediction - Emergency Video!!! [MASSIVE 1000% PUMP],UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-04-14T13:07:16Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
Zt9SDcZHb78,ZILLIQA ZIL: PRICE EXPLOSION 2022! | ZIL PRICE PREDICTION ANALYSIS | ZIL NEWS TODAY,UCBLftV9ZsgTxoMZWPfIUKGw,CryptoBusy,2022-03-31T18:00:08Z,"Zilliqa has exploded in value! Tom takes you through the fundamental and technicals of this pump, as well as his price predictions ..."
zYSXnJ_Vc_w,ZILLIQA (Zilliqa Crypto) Price Prediction March 30th 2022 SMART MONEY,UCLhvOqv9bBTrAbWC9bFbOdw,Project MoonGold,2022-03-30T07:20:30Z,ZILLIQA Fueling up this weekend and some great gains. ZILLIQA Crypto BUY NOW and know when to take profit for max gains.
GDyvS4t8hsM,Zilliqa Price Prediction! Metaverse Is Pumping,UCUBwBSeW51ZflGMPE-2kjwA,Ryan Matta,2022-03-29T15:45:10Z,"Subscribe or I'll Sell Your Crypto. Bitcoin, Luna, Kadena, And Flux make up for 90% of my portfolio. Everything else I have no clue ..."
MiyxRyQ1O5k,Zilliqa HUGE News Update! - ZIL CRYPTO PRICE FORECAST 2022 - Zilliqa News Today,UC61bdUxzWr1a7XuBu8wv2Xg,Bitcoin Bros,2022-04-05T20:30:01Z,Zilliqa HUGE News Update! - ZIL CRYPTO PRICE FORECAST 2022 - Zilliqa News Today ✓ ₿.₿. JOIN Bitcoin Bros Patreon for ...
OFk_KcudKYU,Zilliqa Price Prediction - Forget It! | Zil Is Done!!!,UCahFGHoaeKuHE5tAzdgFaKg,Crypto Dynamics,2022-04-24T03:32:48Z,"Pancake Swap app , pancakeswap coin, pancakeswap price, pancakeswap exchange, pancake crypto, cake coin price, ..."
